movie_id,description,language,rating,writer,director,cast,genre,name,,,,,
tt0367495,Nalla Sivam and Anbarasu meet under different circumstances and their lives are changed as they take the journey of their life., Tamil Hindi ,9, Kamal Haasan Madan ,"[ ""Sundar C."" ]", Kamal Haasan Madhavan Kiran Rathod Nassar Santhana Bharathi Uma Riyaz Khan Yugi Sethu Ilavarasu Balu Anand Seema R.S. Shivaji Laxmi Rattan Chelladurai Hillaary Jacob ," ""Adventure"", ""Comedy"", ""Drama"" ",Anbe Sivam,,,,,
tt0109117,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal., Hindi ,8.7, Rajkumar Santoshi Rajkumar Santoshi ,"[ ""Rajkumar Santoshi"" ]", Aamir Khan Salman Khan Raveena Tandon Karisma Kapoor Paresh Rawal Viju Khote Shehzad Khan Mehmood Deven Verma Jagdeep Tiku Talsania Suresh Bhagwat Harish Patel Javed Khan Anand Mishra ," ""Comedy"", ""Family"", ""Romance"" ",Andaz Apna Apna,,,,,
tt0405508,The story of six young Indians who assist an English Woman to film a documentary on the extremist freedom fighters from their past and the events that lead them to relive the long forgotten saga of freedom., Hindi Panjabi  ,8.4, Renzil D'Silva Prasoon Joshi ,"[ ""Rakeysh Omprakash Mehra"" ]", Aamir Khan Siddharth Sharman Joshi Kunal Kapoor Atul Kulkarni Alice Patten Soha Ali Khan Steven Mackintosh Madhavan Waheeda Rehman Anupam Kher Kiron Kher Om Puri Lekh Tandon Cyrus Sahukar ," ""Comedy"", ""Drama"", ""History"" ",Rang De Basanti,,,,,
tt4430212,Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime., Hindi ,8.7, Jeethu Joseph Upendra Sidhaye ,"[ ""Nishikant Kamat"" ]", Ajay Devgn Shriya Saran Tabu Rajat Kapoor Ishita Dutta Mrunal Jadhav Prasanna Ketkar Yogesh Sonam Prathamesh Parab Rishabh Chaddha Ashish Warang Anil Nagarkar Tarun Shukla Smita Inamdar Sanjay Bhatia ," ""Crime"", ""Drama"", ""Mystery"" ",Drishyam,,,,,
tt4635372,Four lives intersect along the Ganges: a low caste boy hopelessly in love a daughter ridden with guilt of a sexual encounter ending in a tragedy a hapless father with fading morality and..., Hindi ,8.2, Varun Grover ,"[ ""Neeraj Ghaywan"" ]", Richa Chadha Sanjay Mishra Vicky Kaushal Pankaj Tripathy Vinit Kumar Bhagwan Tiwari Bhupesh Singh Satya Kam Anand Mohit Abrol Deepak Agarwal Harsh Agarwal Manish Agrahari Jamal Ahmad Ana Aalok Bhat ," ""Drama"", ""Romance"" ",Masaan,,,,,
tt2350496,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox., Hindi  ,7.8, Ritesh Batra Vasan Bala ,"[ ""Ritesh Batra"" ]", Irrfan Khan Nimrat Kaur Nawazuddin Siddiqui Lillete Dubey Nakul Vaid Bharti Achrekar Yashvi Puneet Nagar Denzil Smith Shruti Bapna Nasir Khan Lokesh Raj Sadashiv Kondaji Pokarkar Aarti Rathod Krishna Bai Raj Rishi More ," ""Drama"", ""Romance"" ",The Lunchbox,,,,,
tt0109424,Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure the other with a beautiful and ethereal server at a late-night restaurant he frequents., Cantonese  Japanese Hindi Mandarin ,8.1, Kar-Wai Wong ,"[ ""Kar-Wai Wong"" ]", Brigitte Lin Tony Chiu Wai Leung Faye Wong Takeshi Kaneshiro Valerie Chow Jinquan Chen Lee-Na Kwan Zhiming Huang Liang Zhen Songshen Zuo ," ""Comedy"", ""Drama"", ""Romance"" ",Chungking Express,,,,,
tt0238936,After his wealthy family prohibits him from marrying the woman he is in love with Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain., Hindi Urdu Bengali ,7.6, Saratchandra Chatterjee Prakash Kapadia ,"[ ""Sanjay Leela Bhansali"" ]", Shah Rukh Khan Madhuri Dixit Aishwarya Rai Bachchan Jackie Shroff Kiron Kher Smita Jaykar Tiku Talsania Vijayendra Ghatge Milind Gunaji Ananya Khare Manoj Joshi Ava Mukherjee Dina Pathak Vijay Crishna Muni Jha ," ""Musical"", ""Romance"" ",Devdas,,,,,
tt4900716,A story revolving around a dysfunctional family of 2 brothers who visit their family and discover that their parents marriage is on the verge of collapsethe family is undergoing a financial crunch and much more as the drama unfolds., Hindi ,7.9, Shakun Batra Ayesha DeVitre ,"[ ""Shakun Batra"" ]", Sidharth Malhotra Fawad Khan Alia Bhatt Anahita Oberoi Vikram Kapadia Anuradha Chandan Pradeep Pradhan Fahim Shaikh Niti Apurva Patel Aalekh Kapoor Sukant Goel Gunavanthe Aditya Aakriti Dobhal Rajat Kapoor Rishi Kapoor ," ""Comedy"", ""Drama"", ""Romance"" ",Kapoor & Sons,,,,,
tt1954470,A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur and ignites a deadly blood feud spanning three generations., Hindi ,8.3, Akhilesh Jaiswal Anurag Kashyap ,"[ ""Anurag Kashyap"" ]", Manoj Bajpayee Richa Chadha Nawazuddin Siddiqui Tigmanshu Dhulia Jameel Khan Piyush Mishra Jaideep Ahlawat Huma Qureshi Zeishan Quadri Vipin Sharma Satyakam Anand Aditya Kumar Rajkummar Rao Vineet Kumar Singh Sankalp Acharekar ," ""Action"", ""Crime"", ""Drama"" ",Gangs of Wasseypur,,,,,
tt4088588,Believing actor and goodwill ambassador Shah Rukh Khan can help her brother get an operation to restore his sight a 10-year old girl takes her blind 8-year old brother on a trek across Rajasthan in search of the superstar., Hindi ,8.2, Nagesh Kukunoor ,"[ ""Nagesh Kukunoor"" ]", Krrish Chhabria Hetal Gada Vipin Sharma Gulfam Khan Idhant Singh Swastik Ram Chavan Narendar Singh Rajpurohit Vincent Daniel Harmeet Arora Sanjana Singh Rajiv Laxman Rishi Deshpande Vijay Maurya Pratyaksh Kalra Subramani Ramachandran ," ""Drama"" ",Rainbow,,,,,
tt2140465,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?, Hindi ,7.8, Himanshu Sharma ,"[ ""Aanand Rai"" ]", Madhavan Kangana Ranaut Jimmy Shergill Swara Bhaskar Deepak Dobriyal Manu Rishi Chadha Raj Awasti Mohammed Zeeshan Ayyub Eijaz Khan Aakash Dahiya Alex Jaep ," ""Comedy"", ""Drama"", ""Romance"" ",Tanu Weds Manu Returns,,,,,
